,Name,Pos,Age,PA,R,RBI,2B,HR,SB,CS,bb%,k%,RC27,OPS,XWOBA,O,Def,BsR,WAR,wRC+,RJML,SSBL,CJPL,key_FG,avgL,obpL,slgL,opsL,avgR,obpR,slgR,opsR
0,Aaron Judge,897,32,704,122,144,36,58,10,0,18.9,24.3,12.3,1.159,0.484,730,-9.8786,-0.4796,11.2061,218.4324,CAM,TT,ILK,15640,0.311,0.505,0.735,1.24,0.326,0.441,0.691,1.132
1,Bobby Witt Jr.,6,24,709,125,109,45,32,31,12,8.0,15.0,9.0,0.977,0.413,656,17.3413,4.5217,10.3576,167.5445,RAC,IR,GAP,25764,0.316,0.35,0.496,0.846,0.336,0.399,0.612,1.011
2,Shohei Ohtani*,0,29,731,134,130,38,54,59,4,11.1,22.2,10.3,1.036,0.448,756,-17.1759,9.7708,9.0749,181.1447,HIG,TT,WWL,19755,0.288,0.349,0.518,0.867,0.322,0.411,0.717,1.128
3,Juan Soto*,97,25,713,128,109,31,41,7,4,18.1,16.7,9.3,0.988,0.463,650,-6.0094,-3.8174,8.1493,179.637,ALA,ECB,SEA,20123,0.278,0.416,0.55,0.966,0.293,0.421,0.578,0.999
4,Gunnar Henderson*,6,23,719,118,92,31,37,21,4,10.8,22.1,7.6,0.893,0.379,606,4.598,3.988,8.0134,154.7482,PR,NB,MMA,26289,0.257,0.359,0.47,0.829,0.291,0.367,0.553,0.92
5,Francisco Lindor#,6,30,689,105,88,39,33,29,4,8.1,18.4,6.6,0.844,0.382,555,17.3753,3.7708,7.6047,136.3242,CK,HOB,BAB,12916,0.263,0.324,0.545,0.869,0.277,0.351,0.485,0.836
6,Jarren Duran*,87,27,735,111,75,48,21,34,7,7.3,21.8,6.4,0.834,0.346,577,7.959,8.158,6.7157,129.0248,DAY,WC,JFS,24617,0.255,0.319,0.346,0.665,0.298,0.352,0.557,0.909
7,Jose Ramirez#,5,31,682,114,118,39,39,41,7,7.9,12.0,6.6,0.872,0.332,606,1.4125,6.292,6.4699,141.2759,RAM,ECB,FMB,13510,0.348,0.385,0.695,1.08,0.254,0.317,0.48,0.797
8,Elly De La Cruz#,6,22,696,105,76,36,25,67,16,9.9,31.3,5.7,0.81,0.331,563,16.2244,7.2301,6.35,117.8483,CC,WC,RAH,26668,0.224,0.307,0.354,0.661,0.275,0.353,0.523,0.876
9,Ketel Marte#,4,30,583,93,95,23,36,7,1,11.1,18.2,7.8,0.932,0.395,501,4.6667,0.9686,6.2729,151.1926,RAM,MVR,ILK,13613,0.342,0.401,0.679,1.08,0.26,0.356,0.486,0.842
10,Vladimir Guerrero Jr.,35,25,697,98,103,44,30,2,2,10.3,13.8,8.1,0.94,0.41,567,-16.6773,-5.5545,5.4591,165.0265,RM,PP,ANG,19611,0.308,0.417,0.538,0.955,0.327,0.391,0.545,0.936
11,Matt Chapman,5,31,647,98,78,39,27,15,2,9.9,24.4,5.3,0.791,0.344,485,11.6169,3.7034,5.4501,120.56,ROC,SIP,OCG,16505,0.254,0.352,0.465,0.817,0.245,0.32,0.462,0.782
12,Cal Raleigh#,2,27,628,73,100,16,34,6,1,11.1,28.0,4.8,0.748,0.347,451,21.7607,-2.4213,5.4261,117.0708,WHI,SR,MBL,21534,0.183,0.251,0.444,0.695,0.234,0.335,0.433,0.768
13,William Contreras,2,26,679,99,92,37,23,9,2,11.5,20.5,6.1,0.831,0.36,514,7.524,-2.5871,5.4222,130.734,HOM,KR,BAB,20503,0.312,0.402,0.486,0.888,0.271,0.353,0.459,0.812
14,Jackson Merrill*,8,21,593,77,90,31,24,16,3,4.9,17.0,6.2,0.826,0.373,465,6.2845,3.7481,5.267,129.9237,avail,rook,rook,29490,0.24,0.276,0.37,0.646,0.311,0.344,0.547,0.891
15,Yordan Alvarez*,7,27,635,88,86,34,35,6,0,10.9,15.0,8.4,0.959,0.416,523,-16.6432,-2.8781,5.2591,167.8246,DV,CW,ANG,19556,0.362,0.411,0.617,1.028,0.28,0.383,0.541,0.924
16,Bryce Harper*,3,31,631,85,87,42,30,7,4,12.0,21.9,6.8,0.898,0.361,495,-4.2964,-0.4716,5.1829,144.9805,HIG,HOB,ILK,11579,0.301,0.387,0.52,0.907,0.277,0.365,0.528,0.893
17,Brent Rooker,79,29,614,82,112,26,39,11,3,9.6,28.8,7.9,0.927,0.383,529,-16.5793,0.8333,5.1045,163.6351,GNB,WAU,WAW,19627,0.289,0.362,0.587,0.949,0.294,0.366,0.555,0.921
18,Marcell Ozuna,0,33,688,96,102,31,39,1,0,10.8,24.7,7.4,0.924,0.405,546,-17.284,-4.5852,4.769,155.9579,HOM,ECB,MMA,10324,0.319,0.407,0.496,0.903,0.297,0.37,0.561,0.931
19,Willy Adames,6,28,688,93,112,33,32,21,4,10.8,25.1,5.5,0.793,0.344,535,5.5753,1.2337,4.7201,119.4299,ROC,CB,ANG,15986,0.191,0.307,0.316,0.623,0.271,0.34,0.511,0.851
20,Corey Seager*,6,30,533,68,74,21,30,1,1,9.9,18.0,6.6,0.865,0.394,403,6.7328,-5.2157,4.5312,140.3223,PR,NB,GAP,13624,0.248,0.276,0.4,0.676,0.291,0.383,0.561,0.944
21,Mookie Betts,694,31,516,75,75,24,19,16,2,11.8,11.0,6.9,0.863,0.363,418,-0.6721,0.5934,4.382,141.0437,CK,TBD,ANG,13611,0.308,0.377,0.476,0.853,0.28,0.37,0.498,0.868
22,Patrick Bailey#,2,25,448,46,46,16,8,4,0,8.7,22.3,3.5,0.637,0.321,254,36.775,0.4922,4.3387,81.0069,HAL,SSF,MMA,27478,0.18,0.237,0.213,0.45,0.25,0.314,0.375,0.689
23,Dansby Swanson,6,30,593,82,66,27,16,19,3,9.1,24.3,4.5,0.702,0.324,405,18.8202,4.441,4.3352,98.5465,DV,CW,MBL,18314,0.318,0.387,0.5,0.887,0.222,0.292,0.361,0.653
24,Jurickson Profar#,73,31,668,94,85,29,24,10,3,11.4,15.1,6.4,0.839,0.364,506,-11.18,-0.7819,4.2961,139.2038,GRF,SSF,WAW,10815,0.3,0.385,0.5,0.885,0.273,0.378,0.444,0.822
25,Carlos Correa,6,29,367,55,54,20,14,0,0,10.9,16.6,7.8,0.905,0.359,298,6.3763,-0.5681,4.2702,155.501,PR,TT,ILK,14162,0.312,0.386,0.584,0.97,0.31,0.388,0.496,0.884
26,Kyle Tucker*,9,27,339,56,49,13,23,11,0,16.5,15.9,9.5,0.993,0.407,307,-1.4451,-0.3251,4.1885,179.9918,DV,SIP,MMA,18345,0.262,0.374,0.466,0.84,0.305,0.427,0.655,1.082
27,Marcus Semien,4,33,718,101,74,27,23,8,3,8.9,14.6,4.3,0.699,0.319,469,15.8427,1.4233,4.1678,98.9722,GRF,SLB,OCG,12533,0.266,0.351,0.422,0.773,0.228,0.294,0.381,0.675
28,Steven Kwan*,7,26,540,83,44,16,14,12,5,9.8,9.4,6.0,0.793,0.334,379,2.8593,0.1952,4.1426,130.8449,SV,SR,GDJ,24610,0.319,0.392,0.447,0.839,0.28,0.358,0.416,0.774
29,Rafael Devers*,5,27,601,87,83,34,28,3,0,11.1,24.5,6.5,0.87,0.366,473,-2.5945,-0.8911,4.128,134.062,ALA,TBD,SEA,17350,0.24,0.304,0.382,0.686,0.293,0.385,0.601,0.986
30,Alex Bregman,5,30,634,79,75,30,26,3,1,6.9,13.6,4.9,0.768,0.321,429,8.1059,-2.3131,4.1264,117.961,DAY,MVR,LWC,17678,0.224,0.287,0.424,0.711,0.274,0.327,0.464,0.791
31,Freddie Freeman*,3,34,638,81,89,35,22,9,2,12.2,15.7,6.7,0.854,0.37,488,-9.0554,-1.4379,4.0467,137.2666,SV,TBD,NYZ,5361,0.25,0.335,0.427,0.762,0.3,0.401,0.503,0.904
32,Corbin Carroll*,89,23,684,121,74,22,22,35,8,10.7,19.0,5.1,0.75,0.329,535,-0.2114,11.1079,4.0416,106.6772,VAN,HOB,SEA,25878,0.219,0.296,0.41,0.706,0.236,0.333,0.436,0.769
33,Colton Cowser*,789,24,561,77,69,24,24,9,4,9.3,30.7,5.0,0.768,0.331,400,6.5338,1.1219,4.0193,119.57,GH,HOB,WWL,29591,0.224,0.281,0.381,0.662,0.249,0.335,0.471,0.806
34,Riley Greene*,789,23,584,82,74,27,24,4,2,11.0,26.7,6.4,0.827,0.357,446,-3.9758,-0.15,3.998,134.9764,HAR,SIP,MBL,25976,0.213,0.265,0.433,0.698,0.28,0.377,0.496,0.873
35,Jazz Chisholm Jr.*,854,26,621,74,73,21,24,40,10,8.5,24.5,5.2,0.76,0.318,449,4.9975,6.1656,3.9899,109.5636,HAL,KR,ANG,20454,0.249,0.319,0.386,0.705,0.26,0.326,0.461,0.787
36,Trea Turner,6,31,539,88,62,25,21,19,4,5.0,18.2,5.8,0.807,0.322,404,2.0824,2.633,3.9392,124.0145,HAL,KR,OBS,16252,0.303,0.363,0.526,0.889,0.292,0.326,0.445,0.771
37,Jackson Chourio,79,20,573,80,79,29,21,22,7,6.8,21.1,5.5,0.791,0.33,434,3.3238,3.9528,3.9359,117.1535,avail,rook,rook,28806,0.267,0.33,0.366,0.696,0.278,0.326,0.507,0.833
38,Jose Altuve,4,34,682,94,65,31,20,22,7,6.9,17.4,5.6,0.789,0.318,469,-5.3511,-0.7219,3.9353,127.481,CC,NB,NYZ,5417,0.37,0.429,0.539,0.968,0.27,0.324,0.407,0.731
39,Nico Hoerner,46,27,641,86,48,35,7,31,6,6.9,10.3,4.8,0.708,0.314,417,9.3711,4.9996,3.9224,102.9546,CK,IR,MMA,21479,0.328,0.377,0.422,0.799,0.258,0.324,0.359,0.683
40,Julio Rodriguez,8,23,613,76,68,17,20,24,5,6.2,25.4,4.8,0.734,0.346,409,3.6619,1.9591,3.8248,115.6546,DAY,WC,OBS,23697,0.268,0.317,0.418,0.735,0.275,0.327,0.406,0.733
41,Eugenio Suarez,5,32,640,90,101,28,30,2,1,7.7,27.5,5.3,0.788,0.332,478,4.9125,-1.137,3.7801,115.0466,DV,SR,NYZ,12552,0.256,0.34,0.452,0.792,0.256,0.309,0.476,0.785
42,Brenton Doyle,8,26,603,82,72,24,23,30,5,7.6,25.4,4.9,0.763,0.333,438,12.1445,5.3495,3.6799,97.3082,GH,avail,MBL,25479,0.257,0.305,0.421,0.726,0.262,0.322,0.456,0.778
